Date,Open,High,Low,Close,Volume
2025-10-27,4866.245617234563,4880.947265625,4837.822430346385,4880.947265625,947600
2025-10-28,4851.543652123307,4859.384530753001,4774.114975655077,4776.0751953125,841000
2025-10-29,4797.637870616482,4797.637870616482,4692.76611328125,4692.76611328125,876000
2025-10-30,4682.964997131462,4719.229062617829,4666.303129205293,4711.38818359375,823100
2025-10-31,4724.12939453125,4737.8509321917145,4681.004561884077,4724.12939453125,986500
2025-11-04,4670.223771302801,4797.638060971083,4670.223771302801,4765.29443359375,1369900
2025-11-05,4753.53265673771,5027.963408054526,4674.143760821059,5024.04296875,3982000
2025-11-06,5027.9638671875,5080.889802631579,4976.018041659052,5027.9638671875,1845300
2025-11-07,5018.1624098264765,5026.9833984375,4950.5348304753,5026.9833984375,919800
2025-11-10,5068.148208792484,5165.179087282226,5061.287439606341,5147.537109375,1369700
2025-11-11,5161.258542472612,5225.945793479676,5145.576784652719,5177.92041015625,1207900
2025-11-12,5214.184658622597,5273.9713624150745,5186.7415814719525,5202.42333984375,1143200
2025-11-13,5233.786779888121,5252.40886768173,5205.36359325577,5228.88623046875,920200
2025-11-14,5206.343586479163,5265.150178193912,5175.960180759876,5244.56787109375,811000
2025-11-17,5242.607673480854,5243.587783346899,5169.099433527393,5192.6220703125,775700
2025-11-18,5160.2783287684,5202.4230520612855,5093.630859375,5093.630859375,851600
2025-11-19,5106.37264213925,5141.656598975529,5046.5859375,5046.5859375,739400
2025-11-20,5102.451806094533,5124.01422248602,5067.167851999373,5082.849609375,754000
2025-11-21,5062.267467958293,5134.795598186543,5052.4663692788,5125.974609375,917900
2025-11-25,5189.681905516882,5202.423334180096,5118.133883023448,5154.39794921875,753300
2025-11-26,5194.582160622877,5228.88600507982,5161.25842600756,5193.60205078125,707500
2025-11-27,5208.304081225082,5230.846609239417,5199.483092002081,5223.98583984375,406400
2025-11-28,5212.2241255236295,5297.4936815447945,5199.482697612421,5293.5732421875,1217600
2025-12-01,5265.1501535043935,5287.6926802226735,5201.443012778819,5215.16455078125,633900
2025-12-02,5214.184640891918,5254.3691465830025,5186.741563834593,5221.04541015625,603400
2025-12-03,5204.383275812323,5243.587669603752,5174.97998046875,5174.97998046875,652200
2025-12-04,5164.198959926663,5192.622146458808,5145.576872198705,5166.1591796875,1055800
2025-12-05,5107.352293147326,5139.695917341121,5089.710316314347,5124.01416015625,924700
2025-12-08,5135.775578432661,5156.35788514012,5107.352392979503,5126.95458984375,633600
2025-12-09,5126.954842750814,5148.517260365136,5076.96923828125,5076.96923828125,900200
2025-12-10,5099.5116137984505,5129.89501953125,5089.710515174967,5129.89501953125,757400
2025-12-11,5157.338033351909,5163.218692454933,5045.605510394456,5056.38671875,766200
2025-12-12,5130.87508778405,5177.92036079525,5072.068496520049,5119.11376953125,1027000
2025-12-15,5119.113690430427,5178.900390625,5094.610944449045,5178.900390625,699600
2025-12-16,5168.119148317423,5182.820795809318,5088.730251861191,5101.4716796875,878500
2025-12-17,5101.47170888486,5112.252917107287,5072.068413732786,5097.55126953125,654200
2025-12-18,5104.412080145577,5125.974496766776,5073.048565060198,5108.33251953125,889500
2025-12-19,5099.511630831286,5140.67624518741,5088.730422309444,5111.27294921875,1319800
2025-12-22,5151.457360916414,5163.218679092021,5127.934724565197,5156.35791015625,805600
2025-12-23,5170.079360287668,5177.920238938341,5150.477163660985,5168.119140625,555500
2025-12-24,5190.661767318991,5223.005392379702,5171.0595703125,5171.0595703125,688800
2025-12-25,5195.562488083942,5195.562488083942,5155.377982894083,5180.86083984375,570000
2025-12-26,5181.840878954347,5193.602197385869,5158.318242091305,5174.0,1012600
2025-12-29,5197.0,5231.0,5158.0,5195.0,1340300
2025-12-30,5208.0,5215.0,5172.0,5193.0,717900
2026-01-05,5200.0,5250.0,5177.0,5225.0,1405300
2026-01-06,5299.0,5364.0,5270.0,5364.0,2272400
2026-01-07,5350.0,5410.0,5317.0,5378.0,1323300
2026-01-08,5375.0,5399.0,5303.0,5365.0,1056000
2026-01-09,5390.0,5409.0,5341.0,5352.0,1224200
2026-01-13,5403.0,5417.0,5333.0,5345.0,1619400
2026-01-14,5356.0,5475.0,5354.0,5412.0,1705500
2026-01-15,5425.0,5518.0,5400.0,5476.0,1306400
2026-01-16,5504.0,5606.0,5500.0,5606.0,1689300
2026-01-19,5578.0,5624.0,5468.0,5579.0,1208700
2026-01-20,5507.0,5550.0,5470.0,5534.0,816400
2026-01-21,5450.0,5509.0,5446.0,5509.0,629500
2026-01-22,5531.0,5646.0,5515.0,5618.0,1584400
2026-01-23,5632.0,5663.0,5592.0,5592.0,1248400
2026-01-26,5520.0,5685.0,5478.0,5507.0,1313600
2026-01-27,5478.0,5557.0,5470.0,5544.0,823300
2026-01-28,5494.0,5650.0,5494.0,5594.0,1193500
