Date,Open,High,Low,Close,Volume
2026-01-14,25090.0,26055.0,24975.0,25975.0,1318200
2026-01-15,25475.0,25785.0,25260.0,25610.0,865200
2026-01-16,25500.0,25595.0,25180.0,25325.0,755000
2026-01-19,25325.0,25355.0,24980.0,25195.0,547400
2026-01-20,24905.0,25140.0,24850.0,25060.0,547300
2026-01-21,24610.0,25300.0,24590.0,24915.0,676500
2026-01-22,25600.0,25620.0,25070.0,25100.0,736400
2026-01-23,25210.0,25440.0,25150.0,25440.0,504000
2026-01-26,24660.0,25025.0,24555.0,24830.0,726500
2026-01-27,25030.0,25200.0,24740.0,25125.0,848100
2026-01-28,24950.0,26120.0,24855.0,25390.0,1322500
2026-01-29,25330.0,25645.0,25070.0,25485.0,1143800
2026-01-30,24985.0,27180.0,24950.0,25870.0,2001900
2026-02-02,26370.0,27070.0,25265.0,25815.0,1727600
2026-02-03,26975.0,27595.0,26775.0,27180.0,1532400
2026-02-04,27120.0,27425.0,27005.0,27425.0,1262200
2026-02-05,27145.0,27380.0,26420.0,26940.0,1048600
2026-02-06,26615.0,26785.0,26115.0,26445.0,1205200
2026-02-09,27635.0,28000.0,27310.0,27385.0,1322700
2026-02-10,27630.0,28180.0,27620.0,28125.0,1304200
2026-02-12,28500.0,28680.0,28105.0,28460.0,1132800
2026-02-13,28375.0,28475.0,28090.0,28140.0,1453600
2026-02-16,28190.0,28390.0,27400.0,27430.0,855000
2026-02-17,27430.0,27520.0,27165.0,27420.0,717600
2026-02-18,27735.0,27765.0,27055.0,27115.0,1034300
2026-02-19,27135.0,27700.0,27135.0,27600.0,1068400
2026-02-20,27490.0,27950.0,27360.0,27545.0,983500
2026-02-24,28000.0,29175.0,27915.0,29100.0,1651100
2026-02-25,29145.0,29575.0,28815.0,28965.0,1150500
2026-02-26,29440.0,29590.0,28960.0,29205.0,1615100
2026-02-27,28205.0,28705.0,27985.0,28265.0,2449600
2026-03-02,27485.0,28460.0,27360.0,28125.0,1211200
2026-03-03,27910.0,28530.0,27730.0,28310.0,1115000
2026-03-04,27435.0,27980.0,27020.0,27415.0,1248600
2026-03-05,28235.0,28665.0,28035.0,28140.0,1346500
2026-03-06,27810.0,28510.0,27670.0,28510.0,955600
2026-03-09,26400.0,26980.0,26335.0,26765.0,1130900
2026-03-10,27265.0,27565.0,27090.0,27445.0,1179400
2026-03-11,27660.0,28205.0,27580.0,27775.0,838000
2026-03-12,27455.0,27845.0,27305.0,27705.0,912500
2026-03-13,27105.0,27955.0,27105.0,27765.0,978300
2026-03-16,27490.0,27710.0,27045.0,27570.0,808400
2026-03-17,28040.0,28200.0,27640.0,27680.0,657600
2026-03-18,27800.0,28450.0,27730.0,28150.0,1057500
2026-03-19,27705.0,27885.0,27520.0,27800.0,1333300
2026-03-23,27300.0,27490.0,26870.0,27265.0,994800
2026-03-24,28500.0,28540.0,27825.0,28235.0,1238200
2026-03-25,28665.0,28720.0,28105.0,28420.0,991500
2026-03-26,28200.0,28280.0,27645.0,28090.0,888900
2026-03-27,27600.0,27780.0,27015.0,27280.0,1324700
2026-03-30,26165.0,27025.0,26000.0,27025.0,1241800
2026-03-31,26525.0,27215.0,26350.0,26550.0,1037800
2026-04-01,27310.0,27620.0,27080.0,27600.0,1107600
2026-04-02,27975.0,28185.0,27215.0,27320.0,1101700
2026-04-03,27610.0,27945.0,27485.0,27575.0,683900
2026-04-06,27700.0,28495.0,27700.0,27960.0,688000
2026-04-07,28275.0,28440.0,28005.0,28005.0,863200
2026-04-08,29255.0,29400.0,28725.0,28755.0,1226500
2026-04-09,28955.0,29360.0,28900.0,28985.0,1076500
2026-04-10,28985.0,30030.0,28925.0,29490.0,1167400
2026-04-13,29265.0,29390.0,28965.0,29170.0,793200
2026-04-14,29670.0,29770.0,29205.0,29400.0,733200
2026-04-15,29770.0,30400.0,29620.0,30030.0,1094200
2026-04-16,29770.0,30030.0,29405.0,30000.0,1130400
2026-04-17,29495.0,29840.0,28995.0,28995.0,1161300
2026-04-20,29495.0,29795.0,29290.0,29645.0,897300
2026-04-21,29465.0,29555.0,28970.0,28970.0,1089700
2026-04-22,29090.0,29185.0,28625.0,28675.0,914500
2026-04-23,28590.0,28700.0,28180.0,28495.0,899100
2026-04-24,28310.0,28670.0,28300.0,28590.0,772600
2026-04-27,28900.0,29260.0,28785.0,28940.0,950500
2026-04-28,29320.0,29380.0,28945.0,29305.0,952900
2026-04-30,29130.0,29700.0,27665.0,29100.0,3573900
2026-05-01,29200.0,29200.0,27750.0,27830.0,1140500
2026-05-07,28275.0,28345.0,26805.0,27510.0,2802900
2026-05-08,27410.0,27940.0,27405.0,27470.0,1207200
2026-05-11,27360.0,27585.0,27050.0,27235.0,1231300
2026-05-12,27270.0,27870.0,27220.0,27285.0,1110000
2026-05-13,27370.0,27825.0,27300.0,27680.0,814400
2026-05-14,27870.0,28135.0,27380.0,27670.0,934500
2026-05-15,27740.0,28465.0,27630.0,28005.0,1111800
2026-05-18,27900.0,28050.0,27255.0,27725.0,677600
2026-05-19,27700.0,27700.0,26705.0,26895.0,1029300
2026-05-20,26945.0,26970.0,26220.0,26500.0,976100
2026-05-21,26900.0,27130.0,26580.0,26580.0,744300
2026-05-22,26620.0,26885.0,26225.0,26225.0,1071500
2026-05-25,26055.0,26455.0,25870.0,26300.0,956600
2026-05-26,26285.0,26570.0,25970.0,25970.0,1011500
2026-05-27,27220.0,27835.0,27025.0,27195.0,1399000
2026-05-28,27080.0,27400.0,26740.0,26970.0,930100
2026-05-29,27020.0,27510.0,26985.0,27080.0,1751300
2026-06-01,26950.0,27150.0,26275.0,26440.0,841300
2026-06-02,26175.0,26385.0,25990.0,26305.0,894500
2026-06-03,26500.0,27575.0,26375.0,27495.0,1092900
2026-06-04,27480.0,27495.0,26280.0,26430.0,1078800
2026-06-05,26290.0,26395.0,26155.0,26340.0,714800
2026-06-08,25400.0,25800.0,25100.0,25280.0,936500
2026-06-09,25595.0,25895.0,25350.0,25605.0,971500
2026-06-10,25420.0,25750.0,25265.0,25710.0,894600
2026-06-11,25300.0,25920.0,25165.0,25650.0,936500
2026-06-12,26420.0,26545.0,25965.0,26420.0,1790900
2026-06-15,26945.0,26975.0,26445.0,26630.0,652900
2026-06-16,26590.0,27255.0,26510.0,27065.0,964700
2026-06-17,27025.0,27685.0,26900.0,27620.0,833200
2026-06-18,28000.0,28720.0,27770.0,28515.0,1113200
2026-06-19,28865.0,28880.0,27035.0,27245.0,1231700
2026-06-22,26945.0,27355.0,26860.0,26975.0,718700
2026-06-23,27205.0,27230.0,26485.0,26485.0,919300
2026-06-24,26200.0,26510.0,25875.0,26350.0,1042700
2026-06-25,26825.0,26850.0,26120.0,26120.0,1037600
2026-06-26,26500.0,26710.0,25020.0,25575.0,1331600
2026-06-29,25570.0,25805.0,25170.0,25805.0,1387700
2026-06-30,26045.0,26255.0,25625.0,25950.0,1221100
2026-07-01,25940.0,26265.0,25560.0,25905.0,1073900
2026-07-02,25775.0,25925.0,25500.0,25590.0,1068900
2026-07-03,25845.0,26190.0,25565.0,25930.0,991500
2026-07-06,26100.0,26100.0,25475.0,25575.0,784100
2026-07-07,25525.0,26055.0,25220.0,25645.0,1301800
2026-07-08,25200.0,25405.0,23910.0,23910.0,1700600
