Date,Open,High,Low,Close,Volume
2025-09-17,386.0,387.0,378.8999938964844,379.2000122070313,4861900
2025-09-18,384.0,384.0,379.0,379.5,4250700
2025-09-19,380.1000061035156,380.6000061035156,370.8999938964844,374.7999877929688,4991800
2025-09-22,372.1000061035156,377.7999877929688,370.1000061035156,375.3999938964844,3418600
2025-09-24,375.3999938964844,385.5,375.2000122070313,383.2000122070313,4037400
2025-09-25,389.0,390.0,380.5,381.0,3320600
2025-09-26,380.0,387.8999938964844,378.5,386.1000061035156,5871600
2025-09-29,387.0,388.1000061035156,380.0,380.0,3131400
2025-09-30,379.0,387.0,373.3999938964844,386.8999938964844,4463900
2025-10-01,380.5,383.1000061035156,377.2000122070313,378.1000061035156,3799100
2025-10-02,378.0,379.8999938964844,363.0,365.0,6723800
2025-10-03,365.2999877929688,374.7999877929688,365.2999877929688,371.1000061035156,3635200
2025-10-06,382.1000061035156,387.8999938964844,378.1000061035156,380.7999877929688,4334600
2025-10-07,381.0,391.3999938964844,379.2000122070313,388.7999877929688,4700400
2025-10-08,388.8999938964844,392.7999877929688,386.2000122070313,387.2999877929688,2922900
2025-10-09,386.2000122070313,395.2999877929688,383.5,390.1000061035156,4778600
2025-10-10,390.0,390.7000122070313,371.3999938964844,373.6000061035156,5042100
2025-10-14,368.2999877929688,372.8999938964844,361.7999877929688,363.5,4999000
2025-10-15,366.3999938964844,368.0,362.3999938964844,364.7999877929688,2602600
2025-10-16,366.0,367.0,362.5,364.7000122070313,2451300
2025-10-17,360.0,363.5,357.5,360.5,3530900
2025-10-20,365.0,369.0,363.7000122070313,369.0,2465500
2025-10-21,372.0,372.8999938964844,366.2999877929688,367.8999938964844,3172400
2025-10-22,368.2000122070313,376.1000061035156,367.2000122070313,372.8999938964844,3749800
2025-10-23,368.8999938964844,369.7999877929688,365.7999877929688,367.0,3281900
2025-10-24,367.2000122070313,371.2999877929688,365.7999877929688,370.3999938964844,3644500
2025-10-27,372.0,377.7000122070313,370.0,377.2000122070313,3222700
2025-10-28,373.0,373.8999938964844,367.7000122070313,368.5,3762500
2025-10-29,368.1000061035156,370.0,360.0,360.0,3732200
2025-10-30,360.0,363.8999938964844,358.6000061035156,360.7999877929688,3365400
2025-10-31,363.0,364.0,351.0,351.0,5365100
2025-11-04,345.0,377.0,342.0,361.0,11206100
2025-11-05,353.0,380.0,352.0,376.0,10655800
2025-11-06,377.0,386.0,367.0,367.0,7278600
2025-11-07,382.0,387.0,375.0,381.0,6988200
2025-11-10,388.0,398.0,386.0,395.0,5134500
2025-11-11,396.0,410.0,394.0,410.0,6141800
2025-11-12,413.0,420.0,393.0,394.0,5509900
2025-11-13,397.0,401.0,392.0,398.0,2836100
2025-11-14,396.0,408.0,390.0,402.0,2603900
2025-11-17,400.0,403.0,386.0,395.0,4092300
2025-11-18,395.0,398.0,383.0,383.0,2566600
2025-11-19,386.0,386.0,380.0,382.0,2811000
2025-11-20,383.0,386.0,371.0,374.0,3545500
2025-11-21,372.0,387.0,371.0,387.0,4361600
2025-11-25,393.0,398.0,385.0,386.0,3570700
2025-11-26,390.0,397.0,387.0,397.0,2736700
2025-11-27,397.0,397.0,390.0,394.0,2465400
2025-11-28,395.0,397.0,392.0,393.0,2110500
2025-12-01,393.0,393.0,380.0,382.0,3650900
2025-12-02,382.0,383.0,374.0,374.0,2210600
2025-12-03,372.0,375.0,368.0,368.0,3510000
2025-12-04,368.0,374.0,368.0,374.0,3160600
2025-12-05,370.0,374.0,368.0,371.0,2790500
2025-12-08,371.0,374.0,366.0,374.0,2886400
2025-12-09,371.0,376.0,370.0,375.0,2144000
2025-12-10,376.0,383.0,375.0,378.0,2982800
2025-12-11,379.0,380.0,371.0,379.0,2527300
2025-12-12,381.0,390.0,379.0,387.0,3919100
2025-12-15,390.0,396.0,387.0,395.0,2821500
2025-12-16,393.0,395.0,387.0,387.0,2707200
2025-12-17,388.0,388.0,380.0,385.0,2061000
2025-12-18,385.0,386.0,379.0,382.0,2345500
2025-12-19,382.0,392.0,381.0,391.0,5407000
2025-12-22,399.0,402.0,391.0,395.0,3709500
2025-12-23,396.0,397.0,389.0,392.0,1916900
2025-12-24,391.0,392.0,385.0,386.0,1777300
2025-12-25,388.0,390.0,385.0,389.0,1138400
2025-12-26,388.0,389.0,383.0,384.0,1709800
2025-12-29,386.0,393.0,383.0,392.0,2548900
2025-12-30,394.0,396.0,386.0,386.0,2316400
2026-01-05,391.0,408.0,390.0,398.0,7054800
2026-01-06,403.0,406.0,397.0,400.0,3000100
2026-01-07,395.0,398.0,387.0,391.0,3997200
2026-01-08,387.0,395.0,385.0,393.0,3376200
2026-01-09,400.0,407.0,398.0,404.0,4884400
2026-01-13,409.0,411.0,404.0,404.0,3699500
2026-01-14,403.0,406.0,400.0,405.0,2557900
2026-01-15,405.0,408.0,400.0,405.0,2213300
2026-01-16,404.0,415.0,403.0,413.0,2930200
2026-01-19,415.0,417.0,401.0,408.0,2869400
2026-01-20,408.0,411.0,405.0,407.0,1632300
2026-01-21,400.0,409.0,399.0,406.0,3037100
2026-01-22,411.0,414.0,406.0,406.0,2286600
2026-01-23,410.0,410.0,400.0,403.0,2533000
2026-01-26,396.0,398.0,392.0,394.0,3209200
2026-01-27,391.0,393.0,385.0,390.0,2614400
2026-01-28,386.0,390.0,384.0,386.0,3086600
2026-01-29,385.0,433.0,379.0,416.0,12048300
2026-01-30,424.0,438.0,403.0,416.0,12549900
2026-02-02,430.0,449.0,419.0,441.0,8848900
2026-02-03,441.0,460.0,438.0,449.0,6977400
2026-02-04,453.0,492.0,449.0,485.0,8783900
2026-02-05,472.0,475.0,457.0,463.0,7078700
