Date,Open,High,Low,Close,Volume
2026-03-03,3286.0,3300.0,3094.0,3095.0,1960400
2026-03-04,2969.0,3051.0,2882.5,2920.5,2151800
2026-03-05,3021.0,3062.0,2965.0,3000.0,2118000
2026-03-06,2950.0,3005.0,2932.0,2970.0,2705600
2026-03-09,2750.5,2771.5,2651.5,2771.5,2799300
2026-03-10,2830.0,2872.5,2804.0,2832.0,2122700
2026-03-11,2882.0,2910.0,2834.0,2841.5,2068400
2026-03-12,2835.0,2867.5,2792.0,2841.5,2365700
2026-03-13,2746.5,2801.0,2746.5,2776.5,2489000
2026-03-16,2730.5,2760.0,2676.5,2719.0,2573200
2026-03-17,2755.5,2760.5,2711.0,2711.0,1768200
2026-03-18,2747.0,2805.0,2735.0,2802.0,1752700
2026-03-19,2724.5,2740.0,2675.5,2675.5,2399600
2026-03-23,2560.0,2578.0,2518.0,2541.0,3565100
2026-03-24,2650.0,2660.5,2588.0,2639.5,1971000
2026-03-25,2689.5,2732.0,2668.0,2732.0,2497700
2026-03-26,2760.0,2773.5,2721.0,2746.5,1818900
2026-03-27,2661.8260470242467,2701.954077883909,2641.5143277002203,2697.0,1775100
2026-03-30,2577.0,2615.5,2536.0,2615.5,1700900
2026-03-31,2547.0,2618.5,2535.0,2535.0,2335500
2026-04-01,2685.0,2685.0,2620.0,2667.5,1760100
2026-04-02,2700.0,2714.5,2568.5,2575.0,1732200
2026-04-03,2589.5,2631.5,2575.5,2589.5,1804900
2026-04-06,2596.5,2633.5,2590.5,2605.5,1586400
2026-04-07,2625.0,2647.5,2602.0,2627.0,1607200
2026-04-08,2794.5,2797.0,2725.5,2752.0,2347500
2026-04-09,2782.0,2784.5,2723.5,2731.5,1837700
2026-04-10,2735.0,2883.0,2730.0,2845.5,3069300
2026-04-13,2830.5,2905.5,2812.0,2863.0,2234000
2026-04-14,2910.0,2918.5,2849.0,2872.5,2206500
2026-04-15,2878.5,2898.5,2835.0,2863.5,1918900
2026-04-16,2908.0,3033.0,2906.0,3011.0,3963000
2026-04-17,3000.0,3009.0,2949.5,2949.5,2005700
2026-04-20,3034.0,3120.0,3025.0,3092.0,2611900
2026-04-21,3112.0,3135.0,3084.0,3128.0,1614700
2026-04-22,3106.0,3149.0,3063.0,3096.0,1569700
2026-04-23,3110.0,3130.0,2993.0,3027.0,1851200
2026-04-24,3060.0,3100.0,3046.0,3086.0,1633500
2026-04-27,3120.0,3150.0,3062.0,3073.0,2073000
2026-04-28,3123.0,3124.0,3037.0,3059.0,1935600
2026-04-30,3079.0,3150.0,3073.0,3124.0,2720400
2026-05-01,3138.0,3152.0,3071.0,3108.0,1751000
2026-05-07,3178.0,3319.0,3129.0,3290.0,3393700
2026-05-08,3300.0,3384.0,3252.0,3380.0,3109800
2026-05-11,3436.0,3458.0,3323.0,3458.0,2485800
2026-05-12,3527.0,3604.0,3487.0,3566.0,4164300
2026-05-13,3636.0,3915.0,3610.0,3914.0,5903700
2026-05-14,3950.0,4088.0,3912.0,3978.0,4083300
