Date,Open,High,Low,Close,Volume
2025-10-08,2226.0,2239.0,2193.5,2204.5,4211900
2025-10-09,2228.0,2257.5,2220.0,2257.0,4613800
2025-10-10,2255.0,2262.0,2177.5,2197.0,5553800
2025-10-14,2161.0,2215.5,2155.0,2181.5,4372600
2025-10-15,2182.0,2226.5,2177.5,2226.5,2968900
2025-10-16,2250.0,2293.0,2246.0,2272.0,3602400
2025-10-17,2242.0,2283.5,2238.0,2261.5,3465300
2025-10-20,2285.0,2292.5,2250.5,2267.0,2814400
2025-10-21,2268.0,2281.0,2251.5,2270.5,3147100
2025-10-22,2258.0,2287.0,2253.5,2276.5,3200700
2025-10-23,2272.0,2288.5,2251.5,2288.5,2966900
2025-10-24,2289.5,2309.0,2270.5,2277.5,3806200
2025-10-27,2311.0,2334.0,2256.0,2260.0,4117900
2025-10-28,2272.0,2289.5,2232.0,2232.0,2881800
2025-10-29,2240.5,2254.5,2200.0,2200.0,3439400
2025-10-30,2250.0,2284.5,2220.5,2267.0,12950900
2025-10-31,2349.5,2425.0,2341.0,2407.5,10477900
2025-11-04,2372.5,2384.0,2321.0,2355.5,5484600
2025-11-05,2328.0,2371.0,2280.0,2348.0,5611500
2025-11-06,2356.5,2421.0,2351.5,2389.5,4599600
2025-11-07,2362.5,2388.0,2356.5,2375.0,3631400
2025-11-10,2411.0,2440.0,2373.0,2380.5,4103700
2025-11-11,2418.0,2445.0,2398.5,2445.0,4441900
2025-11-12,2452.0,2485.0,2430.5,2465.0,4832300
2025-11-13,2477.5,2555.0,2476.5,2535.0,6091900
2025-11-14,2494.0,2559.5,2490.5,2521.0,4243700
2025-11-17,2497.0,2560.0,2492.0,2560.0,2673200
2025-11-18,2574.5,2608.0,2500.0,2508.0,5614200
2025-11-19,2508.5,2562.0,2478.0,2543.0,5656600
2025-11-20,2595.0,2595.0,2532.0,2570.0,3913100
2025-11-21,2554.5,2595.5,2526.5,2542.5,6039300
2025-11-25,2570.0,2615.0,2558.5,2575.5,4889200
2025-11-26,2617.0,2667.0,2606.5,2657.0,4859100
2025-11-27,2682.0,2696.0,2640.0,2649.0,3389000
2025-11-28,2628.0,2683.0,2624.5,2669.0,3578400
2025-12-01,2671.0,2682.5,2597.0,2619.5,3768000
2025-12-02,2600.0,2610.0,2545.0,2567.0,3685500
2025-12-03,2557.5,2574.0,2505.0,2532.5,3850000
2025-12-04,2524.5,2535.0,2492.0,2526.5,4222000
2025-12-05,2519.0,2539.5,2480.0,2480.0,3071400
2025-12-08,2478.0,2496.0,2449.0,2496.0,3135800
2025-12-09,2515.0,2515.0,2464.5,2474.0,2392400
2025-12-10,2490.0,2537.0,2480.5,2532.0,2642200
2025-12-11,2535.0,2542.5,2463.0,2463.0,2446500
2025-12-12,2492.0,2496.0,2456.0,2478.0,3144900
2025-12-15,2472.0,2515.0,2472.0,2508.5,3012000
2025-12-16,2522.5,2523.0,2438.5,2443.0,3028300
2025-12-17,2436.0,2462.5,2415.5,2452.5,2848500
2025-12-18,2469.0,2485.0,2444.0,2474.0,3011900
2025-12-19,2476.5,2525.5,2474.0,2506.0,5237100
2025-12-22,2516.5,2522.0,2456.0,2458.5,2790500
2025-12-23,2468.0,2478.0,2448.0,2460.0,2736900
2025-12-24,2480.0,2480.0,2451.5,2467.0,2714000
2025-12-25,2469.5,2484.5,2457.0,2482.0,1848600
2025-12-26,2460.0,2483.0,2450.0,2455.5,2172800
2025-12-29,2455.0,2485.5,2451.0,2472.5,2136900
2025-12-30,2472.0,2489.0,2455.0,2455.0,2214300
2026-01-05,2477.5,2524.0,2473.5,2501.0,3606200
2026-01-06,2482.5,2518.5,2482.0,2514.0,3526300
2026-01-07,2487.5,2492.0,2435.5,2450.0,4273100
2026-01-08,2434.0,2474.5,2432.0,2474.5,3779700
2026-01-09,2475.0,2495.0,2458.0,2475.5,2831300
2026-01-13,2506.0,2565.0,2505.0,2562.0,5306300
2026-01-14,2564.5,2599.5,2554.0,2586.0,3369200
2026-01-15,2571.0,2593.5,2550.0,2560.0,2686800
2026-01-16,2530.0,2544.5,2515.0,2532.0,2264000
2026-01-19,2509.5,2553.0,2505.0,2551.0,2206900
2026-01-20,2530.0,2532.0,2490.5,2515.0,3113000
2026-01-21,2485.5,2524.0,2481.0,2521.0,2446100
2026-01-22,2529.5,2555.5,2512.5,2550.5,2986600
2026-01-23,2548.5,2561.0,2516.5,2527.0,2785800
2026-01-26,2500.0,2512.0,2468.5,2468.5,3287100
2026-01-27,2470.0,2472.0,2433.5,2446.0,3825600
2026-01-28,2441.0,2460.0,2430.0,2430.0,2873700
2026-01-29,2437.0,2455.5,2391.5,2449.5,3095700
2026-01-30,2468.0,2491.5,2456.0,2468.0,3399300
2026-02-02,2434.0,2455.0,2393.5,2397.0,4707500
2026-02-03,2382.0,2440.0,2377.0,2440.0,3941400
2026-02-04,2464.5,2472.0,2442.0,2456.0,3196800
2026-02-05,2491.0,2514.0,2475.0,2500.0,2990500
2026-02-06,2520.0,2584.5,2508.5,2584.5,4106700
2026-02-09,2630.0,2654.0,2600.5,2623.5,4456600
2026-02-10,2637.0,2649.5,2609.5,2638.0,3032200
2026-02-12,2676.0,2743.5,2674.0,2743.5,4696000
2026-02-13,2750.5,2800.5,2737.0,2745.5,4462900
2026-02-16,2765.5,2788.0,2708.0,2733.5,3179200
2026-02-17,2750.5,2796.0,2714.5,2734.0,2635100
2026-02-18,2736.5,2773.0,2730.0,2770.0,3188600
2026-02-19,2755.0,2770.5,2721.5,2721.5,3732700
2026-02-20,2700.0,2708.5,2642.0,2682.0,4477000
2026-02-24,2720.0,2771.5,2705.0,2751.0,4052600
2026-02-25,2733.5,2759.0,2672.5,2744.0,3500200
2026-02-26,2756.0,2782.5,2746.0,2760.0,3804400
2026-02-27,2743.5,2826.0,2734.0,2823.0,4425700
2026-03-02,2723.0,2760.0,2681.5,2700.0,4371000
2026-03-03,2680.0,2701.5,2622.5,2640.5,4687000
2026-03-04,2550.5,2577.0,2490.5,2534.5,5756200
2026-03-05,2613.0,2647.0,2565.0,2579.0,3791100
2026-03-06,2529.0,2541.5,2491.0,2530.0,4019500
2026-03-09,2400.0,2429.0,2368.5,2420.0,7322600
2026-03-10,2470.0,2498.0,2451.0,2481.5,3068300
2026-03-11,2569.0,2596.0,2550.0,2570.0,5142100
2026-03-12,2530.0,2584.5,2525.0,2578.0,4126600
2026-03-13,2529.0,2602.0,2526.0,2584.5,4065100
2026-03-16,2583.0,2583.0,2522.5,2522.5,3011800
2026-03-17,2561.0,2577.5,2535.0,2554.5,2077300
2026-03-18,2580.5,2719.5,2577.0,2719.5,4230900
2026-03-19,2679.0,2680.5,2582.0,2582.0,5370500
2026-03-23,2481.0,2499.0,2448.0,2477.5,3536000
2026-03-24,2527.5,2543.5,2505.5,2529.5,2809100
2026-03-25,2629.5,2640.0,2599.5,2624.0,4213100
2026-03-26,2655.0,2662.0,2588.5,2630.0,2282600
2026-03-27,2591.6560747663552,2639.8317757009345,2569.5345794392524,2630.0,4106700
2026-03-30,2580.0,2664.0,2553.0,2646.0,3886400
2026-03-31,2625.0,2666.0,2584.5,2584.5,4136800
2026-04-01,2684.5,2712.0,2642.5,2712.0,3538500
2026-04-02,2728.5,2754.0,2662.0,2672.0,2564800
2026-04-03,2692.0,2710.0,2670.0,2694.0,1738700
2026-04-06,2694.5,2697.5,2601.5,2601.5,2959800
2026-04-07,2613.0,2653.0,2578.0,2578.0,2873800
2026-04-08,2690.0,2693.5,2643.5,2650.0,3750800
