Date,Open,High,Low,Close,Volume
2025-10-07,4090.0,4097.0,4035.0,4053.0,12704000
2025-10-08,4100.0,4162.0,4076.0,4125.0,13512700
2025-10-09,4121.0,4139.0,4082.0,4098.0,11979300
2025-10-10,4066.0,4076.0,3988.0,3991.0,14126800
2025-10-14,3925.0,3958.0,3868.0,3885.0,20763700
2025-10-15,3915.0,3974.0,3915.0,3957.0,10534800
2025-10-16,4039.0,4047.0,3997.0,4024.0,8690400
2025-10-17,3933.0,3944.0,3900.0,3900.0,13120500
2025-10-20,3970.0,4084.0,3932.0,4084.0,13999800
2025-10-21,4103.0,4125.0,4067.0,4087.0,13723000
2025-10-22,4050.0,4118.0,4044.0,4087.0,8636400
2025-10-23,4085.0,4086.0,4026.0,4039.0,8391100
2025-10-24,4053.0,4057.0,4027.0,4033.0,7163500
2025-10-27,4100.0,4126.0,4076.0,4099.0,9695800
2025-10-28,4101.0,4135.0,4085.0,4115.0,9540700
2025-10-29,4114.0,4131.0,4075.0,4081.0,9232200
2025-10-30,4124.0,4162.0,4111.0,4131.0,34393700
2025-10-31,4132.0,4163.0,4120.0,4163.0,10515900
2025-11-04,4163.0,4188.0,4097.0,4150.0,10856300
2025-11-05,4119.0,4137.0,3994.0,4071.0,17387800
2025-11-06,4110.0,4213.0,4104.0,4203.0,13546100
2025-11-07,4139.0,4175.0,4118.0,4162.0,10903700
2025-11-10,4203.0,4228.0,4185.0,4189.0,10966200
2025-11-11,4228.0,4238.0,4171.0,4198.0,7353800
2025-11-12,4218.0,4303.0,4211.0,4280.0,13243300
2025-11-13,4333.0,4370.0,4310.0,4331.0,12480500
2025-11-14,4300.0,4354.0,4274.0,4330.0,12328800
2025-11-17,4540.0,4586.0,4465.0,4528.0,23620300
2025-11-18,4480.0,4516.0,4359.0,4359.0,16167400
2025-11-19,4410.0,4452.0,4353.0,4374.0,13159100
2025-11-20,4461.0,4482.0,4413.0,4416.0,13065200
2025-11-21,4350.0,4471.0,4340.0,4449.0,17786900
2025-11-25,4519.0,4520.0,4411.0,4457.0,14192600
2025-11-26,4491.0,4638.0,4480.0,4624.0,18752400
2025-11-27,4687.0,4760.0,4675.0,4675.0,13849900
2025-11-28,4656.0,4721.0,4647.0,4698.0,10467800
2025-12-01,4785.0,4846.0,4740.0,4771.0,18687500
2025-12-02,4901.0,4918.0,4804.0,4918.0,20880000
2025-12-03,4869.0,4883.0,4803.0,4817.0,15331700
2025-12-04,4809.0,4905.0,4793.0,4900.0,13427100
2025-12-05,4905.0,4966.0,4874.0,4949.0,16256600
2025-12-08,4904.0,4917.0,4881.0,4908.0,10075000
2025-12-09,4918.0,4919.0,4849.0,4849.0,11143100
2025-12-10,4840.0,4877.0,4821.0,4860.0,11349000
2025-12-11,4904.0,4927.0,4833.0,4841.0,10494800
2025-12-12,4909.0,4997.0,4905.0,4973.0,18274400
2025-12-15,5005.0,5107.0,4992.0,5090.0,15325900
2025-12-16,5114.0,5114.0,4912.0,4912.0,17466600
2025-12-17,4927.0,4964.0,4880.0,4918.0,12229500
2025-12-18,4912.0,4966.0,4892.0,4912.0,14764200
2025-12-19,4929.0,5056.0,4928.0,5020.0,20334100
2025-12-22,5083.0,5111.0,5034.0,5064.0,13436800
2025-12-23,5070.0,5147.0,5054.0,5129.0,13594500
2025-12-24,5127.0,5167.0,5088.0,5096.0,9496900
2025-12-25,5122.0,5123.0,5058.0,5087.0,3931300
2025-12-26,5086.0,5125.0,5072.0,5101.0,6095200
2025-12-29,5089.0,5148.0,5073.0,5121.0,7932000
2025-12-30,5090.0,5095.0,5041.0,5041.0,10461500
2026-01-05,5160.0,5187.0,5144.0,5183.0,13477500
2026-01-06,5241.0,5342.0,5236.0,5330.0,14439800
2026-01-07,5297.0,5303.0,5212.0,5212.0,16039100
2026-01-08,5151.0,5164.0,5097.0,5103.0,16112100
2026-01-09,5147.0,5263.0,5136.0,5253.0,19889900
2026-01-13,5358.0,5415.0,5329.0,5415.0,18501600
2026-01-14,5488.0,5555.0,5426.0,5555.0,16042500
2026-01-15,5555.0,5675.0,5523.0,5675.0,21573300
2026-01-16,5685.0,5715.0,5626.0,5626.0,17934800
2026-01-19,5617.0,5683.0,5575.0,5671.0,12197600
2026-01-20,5660.0,5665.0,5580.0,5594.0,11864800
2026-01-21,5500.0,5508.0,5395.0,5395.0,18168400
2026-01-22,5495.0,5500.0,5408.0,5408.0,11861300
2026-01-23,5421.0,5559.0,5419.0,5541.0,12495900
2026-01-26,5357.0,5483.0,5353.0,5387.0,11948900
2026-01-27,5400.0,5458.0,5353.0,5430.0,11719300
2026-01-28,5400.0,5414.0,5339.0,5346.0,12106100
2026-01-29,5411.0,5442.0,5331.0,5421.0,11476600
2026-01-30,5450.0,5492.0,5415.0,5472.0,14175200
2026-02-02,5550.0,5554.0,5286.0,5286.0,18739100
2026-02-03,5483.0,5555.0,5417.0,5546.0,16088500
2026-02-04,5549.0,5648.0,5511.0,5630.0,15352700
2026-02-05,5670.0,5697.0,5589.0,5653.0,14316600
2026-02-06,5584.0,5910.0,5539.0,5910.0,20608000
2026-02-09,6110.0,6143.0,5940.0,5984.0,17283400
2026-02-10,6002.0,6161.0,5993.0,6134.0,17158600
2026-02-12,6099.0,6284.0,6046.0,6204.0,17290300
2026-02-13,6136.0,6198.0,6062.0,6062.0,11506500
2026-02-16,5973.0,6019.0,5849.0,5856.0,13109100
2026-02-17,5804.0,5873.0,5716.0,5716.0,11376500
2026-02-18,5903.0,5914.0,5850.0,5878.0,10065500
2026-02-19,5978.0,6129.0,5965.0,6129.0,14435700
2026-02-20,6045.0,6048.0,5939.0,5963.0,12452200
2026-02-24,5880.0,5890.0,5786.0,5808.0,14246200
2026-02-25,5790.0,5799.0,5643.0,5699.0,15830900
2026-02-26,5834.0,5903.0,5825.0,5890.0,13354100
2026-02-27,5886.0,5997.0,5835.0,5997.0,17130000
2026-03-02,5691.0,5798.0,5595.0,5727.0,20892600
2026-03-03,5685.0,5755.0,5535.0,5562.0,19557600
2026-03-04,5275.0,5422.0,5098.0,5199.0,31923100
2026-03-05,5403.0,5483.0,5303.0,5392.0,23577800
2026-03-06,5292.0,5423.0,5279.0,5423.0,11811200
2026-03-09,5050.0,5236.0,5028.0,5210.0,21531200
2026-03-10,5310.0,5402.0,5251.0,5356.0,13398200
2026-03-11,5400.0,5469.0,5302.0,5302.0,11948800
2026-03-12,5280.0,5287.0,5062.0,5154.0,16770200
2026-03-13,4987.0,5131.0,4986.0,5108.0,14745200
2026-03-16,5070.0,5129.0,5024.0,5080.0,10268600
2026-03-17,5180.0,5220.0,5072.0,5126.0,9074000
2026-03-18,5194.0,5267.0,5162.0,5256.0,11660400
2026-03-19,5188.0,5208.0,5128.0,5156.0,13725700
2026-03-23,5000.0,5030.0,4935.0,5009.0,14956500
2026-03-24,5122.0,5148.0,5047.0,5148.0,12070200
2026-03-25,5300.0,5372.0,5262.0,5311.0,16139400
2026-03-26,5330.0,5337.0,5202.0,5246.0,12876200
2026-03-27,5110.858368280595,5205.412695386961,5109.873427373236,5167.0,17031800
2026-03-30,4967.0,5060.0,4927.0,5053.0,18512600
2026-03-31,4955.0,5196.0,4955.0,5006.0,15081700
2026-04-01,5281.0,5475.0,5235.0,5455.0,19037000
2026-04-02,5555.0,5556.0,5342.0,5388.0,15876200
2026-04-03,5436.0,5458.0,5351.0,5373.0,7293400
2026-04-06,5392.0,5444.0,5368.0,5379.0,7094100
2026-04-07,5412.0,5480.0,5392.0,5418.0,8755300
