Date,Open,High,Low,Close,Volume
2026-01-13,1890.5,1918.0,1866.0,1877.0,11299500
2026-01-14,1905.0,1911.0,1875.0,1881.0,10371300
2026-01-15,1880.0,1900.5,1861.5,1887.5,9298300
2026-01-16,1870.0,1888.5,1861.5,1867.0,6827200
2026-01-19,1860.0,1866.0,1834.0,1838.5,8678700
2026-01-20,1828.0,1835.0,1808.0,1815.5,9543200
2026-01-21,1781.5,1793.5,1771.0,1781.0,11342900
2026-01-22,1819.0,1834.5,1791.5,1834.5,10825600
2026-01-23,1825.0,1847.0,1798.5,1813.0,8239700
2026-01-26,1779.5,1795.0,1762.5,1785.5,8621700
2026-01-27,1775.0,1780.0,1732.0,1739.0,12140000
2026-01-28,1714.0,1744.5,1707.0,1727.0,11266300
2026-01-29,1705.0,1733.0,1686.5,1730.5,11919200
2026-01-30,1749.5,1772.5,1740.0,1767.5,10385200
2026-02-02,1800.0,1805.0,1757.5,1768.0,8902500
2026-02-03,1785.0,1796.0,1768.0,1791.0,8859200
2026-02-04,1788.5,1836.5,1780.0,1836.5,8684500
2026-02-05,1861.0,1887.0,1855.0,1878.5,12442000
2026-02-06,1857.0,1894.5,1843.0,1894.5,8932500
2026-02-09,1973.0,2058.5,1955.0,2017.5,12806500
2026-02-10,2059.0,2102.5,2034.0,2092.0,10727000
2026-02-12,2080.5,2158.0,2075.0,2147.5,14170300
2026-02-13,2129.0,2150.0,2081.5,2081.5,12904300
2026-02-16,2097.0,2097.0,2028.0,2035.0,7369200
2026-02-17,2045.0,2056.5,2020.5,2039.5,5689300
2026-02-18,2070.0,2083.0,2039.5,2053.5,4231000
2026-02-19,2046.5,2102.0,2027.5,2101.5,7346100
2026-02-20,2068.5,2090.5,2050.5,2086.0,6983100
2026-02-24,2064.5,2080.0,2040.0,2060.5,7520200
2026-02-25,2069.5,2107.0,2056.5,2095.0,8376400
2026-02-26,2129.0,2154.0,2099.0,2102.0,9062500
2026-02-27,2099.0,2121.0,2089.0,2106.5,10033700
2026-03-02,2032.0,2083.5,2030.5,2082.0,7148400
2026-03-03,2013.0,2050.0,2005.0,2007.5,7281000
2026-03-04,1959.0,1983.0,1924.5,1952.5,9469600
2026-03-05,2003.0,2034.0,1960.5,1975.5,8665200
2026-03-06,1986.5,2029.0,1964.5,2017.5,10214800
2026-03-09,1905.0,1950.0,1894.0,1950.0,12619200
2026-03-10,1990.0,2010.0,1956.0,1967.5,8640900
2026-03-11,2004.5,2008.5,1946.0,1948.0,8666900
2026-03-12,1875.0,1899.5,1851.5,1869.5,10582600
2026-03-13,1815.5,1864.5,1815.5,1821.0,15547500
2026-03-16,1802.5,1828.5,1795.0,1827.5,7921100
2026-03-17,1863.0,1869.5,1839.5,1848.5,5797000
2026-03-18,1879.5,1883.0,1858.5,1880.5,6113600
2026-03-19,1820.0,1840.0,1806.5,1814.0,10932900
2026-03-23,1744.0,1758.5,1677.0,1685.0,13636900
2026-03-24,1734.0,1743.5,1716.0,1738.5,7451400
2026-03-25,1784.5,1784.5,1748.0,1753.0,7635300
2026-03-26,1755.5,1761.5,1721.0,1733.0,7658700
2026-03-27,1702.3151087595531,1709.2451499118165,1679.5449735449736,1684.0,13280600
2026-03-30,1623.5,1665.0,1621.0,1651.0,10991600
2026-03-31,1656.5,1688.0,1633.0,1655.5,12991900
2026-04-01,1711.0,1713.0,1688.0,1713.0,8475700
2026-04-02,1742.0,1750.0,1678.0,1688.0,8081500
2026-04-03,1706.0,1713.0,1681.5,1692.5,5324900
2026-04-06,1702.0,1704.0,1650.0,1650.0,8043100
2026-04-07,1658.0,1676.0,1657.0,1672.0,7103600
2026-04-08,1758.5,1779.0,1725.0,1770.0,13374900
2026-04-09,1781.5,1785.0,1720.0,1720.0,10173300
2026-04-10,1712.0,1735.5,1710.0,1730.0,7395500
2026-04-13,1700.5,1732.0,1700.0,1727.5,8041700
2026-04-14,1755.0,1803.0,1747.0,1787.0,12977400
2026-04-15,1818.0,1825.5,1773.5,1778.5,10788400
2026-04-16,1777.0,1783.5,1747.5,1759.0,9612200
2026-04-17,1749.5,1757.5,1728.0,1731.0,8041900
2026-04-20,1766.0,1776.5,1745.5,1753.0,8780400
2026-04-21,1744.5,1770.0,1741.5,1749.0,6538700
2026-04-22,1741.0,1741.0,1710.0,1719.0,6632900
2026-04-23,1753.5,1767.5,1716.0,1734.0,7328800
2026-04-24,1709.5,1722.5,1696.0,1704.0,5470500
2026-04-27,1697.0,1728.5,1681.5,1701.0,6371000
2026-04-28,1715.0,1732.0,1702.5,1711.0,7913300
2026-04-30,1694.5,1724.0,1687.0,1704.5,12002700
2026-05-01,1690.0,1705.0,1674.5,1693.0,5387600
2026-05-07,1709.5,1736.5,1699.0,1699.0,11882300
2026-05-08,1699.0,1700.0,1646.5,1656.5,11016900
2026-05-11,1656.5,1679.0,1650.0,1670.5,6435200
2026-05-12,1676.5,1688.0,1663.0,1674.5,7657000
2026-05-13,1672.0,1697.5,1661.0,1697.5,7973500
2026-05-14,1600.0,1606.0,1528.0,1528.0,21882500
2026-05-15,1490.5,1557.5,1489.5,1539.5,17988500
2026-05-18,1539.5,1565.5,1498.0,1498.0,15163200
2026-05-19,1520.0,1545.0,1512.0,1534.0,16575000
2026-05-20,1520.0,1531.5,1497.0,1508.0,14973800
2026-05-21,1539.5,1557.0,1520.0,1520.0,13420100
2026-05-22,1501.0,1503.0,1461.5,1480.0,16564400
2026-05-25,1510.0,1547.5,1500.5,1523.0,12823100
2026-05-26,1520.5,1558.5,1508.0,1544.5,14254900
2026-05-27,1537.5,1557.5,1530.5,1532.0,15297600
2026-05-28,1532.0,1539.0,1496.5,1505.0,8693900
2026-05-29,1519.0,1543.0,1498.5,1530.5,23942000
2026-06-01,1544.0,1546.0,1478.5,1478.5,13722800
2026-06-02,1477.5,1516.0,1455.0,1510.5,14964600
2026-06-03,1515.0,1520.0,1476.5,1478.5,8128100
2026-06-04,1478.5,1493.5,1450.0,1467.5,10006200
2026-06-05,1482.0,1506.5,1480.0,1495.0,8640800
2026-06-08,1470.0,1475.5,1443.5,1462.5,11385300
2026-06-09,1492.5,1499.0,1472.5,1487.0,10841900
2026-06-10,1529.5,1551.0,1505.5,1546.5,14131200
2026-06-11,1555.0,1597.0,1533.5,1538.0,18916700
2026-06-12,1564.0,1578.5,1548.0,1558.0,13173200
2026-06-15,1586.0,1593.5,1563.0,1570.5,12128800
2026-06-16,1564.5,1572.5,1527.0,1530.0,9741600
2026-06-17,1544.5,1554.5,1516.5,1516.5,9010400
2026-06-18,1516.5,1528.0,1481.0,1508.5,10721100
2026-06-19,1493.5,1510.5,1475.0,1509.5,14467000
2026-06-22,1486.5,1497.5,1473.0,1478.5,9673000
2026-06-23,1458.0,1469.5,1446.5,1448.0,16004200
2026-06-24,1448.5,1471.0,1448.0,1464.0,13493700
2026-06-25,1494.0,1495.0,1467.0,1475.0,9836400
2026-06-26,1451.5,1480.0,1430.0,1480.0,16359000
2026-06-29,1500.0,1520.5,1487.0,1520.5,15325400
2026-06-30,1525.0,1528.5,1499.0,1499.0,12517300
2026-07-01,1491.0,1493.5,1457.0,1479.0,9488000
2026-07-02,1498.0,1525.5,1484.0,1512.0,9257700
2026-07-03,1560.5,1567.0,1529.5,1540.0,9168000
2026-07-06,1545.0,1566.0,1541.5,1555.5,6343100
2026-07-07,1571.0,1584.5,1558.5,1571.5,9424500
2026-07-08,1578.0,1583.5,1544.5,1544.5,7886000
2026-07-09,1504.5,1527.0,1504.5,1522.0,7751700
2026-07-10,1518.5,1519.0,1504.5,1511.0,6529000
2026-07-13,1528.0,1532.0,1508.0,1517.0,5441500
